id,title,link,district,type,name,value,function,location
9080031397,Pflügerstraße 34,https://www.infravelo.de/projekt/pfluegerstrasse-34/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.49112208504659 13.423689267241523)
9080031398,Pflügerstraße 38,https://www.infravelo.de/projekt/pfluegerstrasse-38/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking,POINT (52.4880447 13.4376318)
9080031240,Pflügerstraße 53,https://www.infravelo.de/projekt/pfluegerstrasse-53/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.49025985 13.43334906333505)
9080031241,Pflügerstraße 60,https://www.infravelo.de/projekt/pfluegerstrasse-60/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.4910002 13.4310625)
9080031242,Pflügerstraße 76/77,https://www.infravelo.de/projekt/pfluegerstrasse-76-77/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.49112208504659 13.423689267241523)
9080031243,Pflügerstraße 79A,https://www.infravelo.de/projekt/pfluegerstrasse-79a/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.4912803 13.4243557)
9050088007,Pichelsdorfer Straße  128,https://www.infravelo.de/projekt/pichelsdorfer-strasse-128/,Spandau,Anlehnbügel,Anzahl Stellplätze,6,parking,POINT (52.5261232 13.1967301)
9050088006,Pichelsdorfer Straße 125,https://www.infravelo.de/projekt/pichelsdorfer-strasse-125/,Spandau,Anlehnbügel,Anzahl Stellplätze,6,parking,POINT (52.5260851 13.1964215)
9050088008,Pichelsdorfer Straße 142,https://www.infravelo.de/projekt/pichelsdorfer-strasse-142/,Spandau,Anlehnbügel,Anzahl Stellplätze,30,parking,POINT (52.527542 13.1960623)
9030072001,Pistoriusstraße (Primo-Levi-Oberschule) 133,https://www.infravelo.de/projekt/pistoriusstrasse-primo-levi-oberschule-133/,Pankow,Anlehnbügel,Anzahl Stellplätze,30,parking,
9030087009,Pistoriusstraße 126,https://www.infravelo.de/projekt/pistoriusstrasse-126/,Pankow,Anlehnbügel,Anzahl Stellplätze,8,parking,POINT (52.5519413 13.4519188)
9030079020,Pistoriusstraße 133,https://www.infravelo.de/projekt/pistoriusstrasse-133/,Pankow,Anlehnbügel,Anzahl Stellplätze,16,parking,POINT (52.5511407 13.45415235252134)
9030082053,Pistoriusstraße 88,https://www.infravelo.de/projekt/pistoriusstrasse-88/,Pankow,Anlehnbügel,Anzahl Stellplätze,8,parking,POINT (52.5564075 13.4353631)
9030079019,Pistoriusstraße/Woelckpromenade 129,https://www.infravelo.de/projekt/pistoriusstrassewoelckpromenade-129/,Pankow,Anlehnbügel,Anzahl Stellplätze,8,parking,
9020086122,Planufer  96,https://www.infravelo.de/projekt/planufer-96/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,16,parking,POINT (52.4956588 13.4193273)
9110090008,Plonzstraße 11,https://www.infravelo.de/projekt/plonzstrasse-11/,Lichtenberg,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.5163104 13.4900919)
9100031018,Premnitzer Straße 41579,https://www.infravelo.de/projekt/premnitzer-strasse-11-13/,Marzahn-Hellersdorf,Anlehnbügel,Anzahl Stellplätze,14,parking,POINT (52.55735699584588 13.55046969892743)
9030069005,Prenzlauer Allee  187,https://www.infravelo.de/projekt/prenzlauer-allee-187/,Pankow,Anlehnbügel,Anzahl Stellplätze,8,parking,POINT (52.5415182 13.4252033)
9030069013,Prenzlauer Allee  248-251,https://www.infravelo.de/projekt/prenzlauer-allee-248-251/,Pankow,Anlehnbügel,Anzahl Stellplätze,32,parking,POINT (52.52831465 13.416303700031486)
9030005001,Prenzlauer Allee 206,https://www.infravelo.de/projekt/prenzlauer-allee-206/,Pankow,Anlehnbügel,Anzahl Stellplätze,6,parking,POINT (52.5375664 13.4228847)
9030087013,Prenzlauer Allee 23,https://www.infravelo.de/projekt/prenzlauer-allee-23/,Pankow,Anlehnbügel,Anzahl Stellplätze,12,parking,POINT (52.5320459 13.4203877)
9030073009,Prenzlauer Allee 251,https://www.infravelo.de/projekt/prenzlauer-allee-251/,Pankow,Anlehnbügel,Anzahl Stellplätze,24,parking,POINT (52.52831465 13.416303700031486)
9030087014,Prenzlauer Allee 31,https://www.infravelo.de/projekt/prenzlauer-allee-31/,Pankow,Anlehnbügel,Anzahl Stellplätze,8,parking,POINT (52.533931 13.4215298)
9030087015,Prenzlauer Allee 46,https://www.infravelo.de/projekt/prenzlauer-allee-46/,Pankow,Anlehnbügel,Anzahl Stellplätze,8,parking,POINT (52.5367375 13.4231611)
9030005004,Prenzlauer Allee 48,https://www.infravelo.de/projekt/prenzlauer-allee-48/,Pankow,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.5372438 13.4234634)
9030005003,Prenzlauer Allee 51,https://www.infravelo.de/projekt/prenzlauer-allee-51/,Pankow,Anlehnbügel,Anzahl Stellplätze,8,parking,POINT (52.5378519 13.4238784)
