id,title,link,district,type,name,value,function
9080031130,Jonasstraße 18,https://www.infravelo.de/projekt/jonasstrasse-18/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080031534,Jonasstraße 23,https://www.infravelo.de/projekt/jonasstrasse-23/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080031131,Jonasstraße 28,https://www.infravelo.de/projekt/jonasstrasse-28/,Neukölln,Anlehnbügel,Anzahl Stellplätze,2,parking
9080031132,Jonasstraße 31,https://www.infravelo.de/projekt/jonasstrasse-31/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080031535,Jonasstraße 43,https://www.infravelo.de/projekt/jonasstrasse-43/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080031133,Jonasstraße 63,https://www.infravelo.de/projekt/jonasstrasse-63/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9080031134,Jonastraße 55,https://www.infravelo.de/projekt/jonastrasse-55/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9110083008,Josef-Orlopp Str. 20,https://www.infravelo.de/projekt/josef-orlopp-str-20/,Lichtenberg,Anlehnbügel,Anzahl Stellplätze,50,parking
9110077012,Josef-Orlopp-Straße 20,https://www.infravelo.de/projekt/josef-orlopp-strasse-20/,Lichtenberg,Anlehnbügel,Anzahl Stellplätze,50,parking
9040028017,Kaiserdamm / Sophie‐Charlotten Platz 3,https://www.infravelo.de/projekt/kaiserdamm-sophie-charlotten-platz-3/,Charlottenburg-Wilmersdorf,Anlehnbügel,Anzahl Stellplätze,6,parking
9040028026,Kaiserin‐Auguste‐Allee 46,https://www.infravelo.de/projekt/kaiserin-auguste-allee-46/,Charlottenburg-Wilmersdorf,Anlehnbügel,Anzahl Stellplätze,14,parking
9040028009,Kaminer Straße / Obersstraße 25,https://www.infravelo.de/projekt/kaminer-strasse-obersstrasse-25/,Charlottenburg-Wilmersdorf,Anlehnbügel,Anzahl Stellplätze,50,parking
