highway,lanes,lit,maxspeed,streetname,oneway,ref,smoothness,geometry
primary,2.0,,70.0,,yes,L 76,,"LINESTRING (13.3192629 52.3821449, 13.3195837 52.3822061, 13.3199588 52.3822428, 13.3203636 52.382246, 13.320607 52.3822305, 13.3208524 52.3822057, 13.3213466 52.3820889, 13.3216619 52.3819796, 13.3219051 52.3818501, 13.3222147 52.3816532, 13.3224032 52.3814975, 13.3225967 52.3812776)"
secondary,2.0,,80.0,,,L 40,excellent,"LINESTRING (13.3177065 52.3523969, 13.3208053 52.3514981, 13.3208687 52.3514791, 13.3218604 52.3511865, 13.3221063 52.351104, 13.32231 52.3510282, 13.3227454 52.3508552, 13.3250374 52.3498518, 13.3254693 52.3496616, 13.3260522 52.3494038, 13.3263071 52.3492993, 13.3265819 52.3492003, 13.3269423 52.3490986, 13.3274102 52.348999, 13.3288939 52.3487076)"
secondary,2.0,yes,40.0,,,,,"LINESTRING (13.2759555 52.4996277, 13.2759752 52.4994261)"
secondary,2.0,yes,40.0,,yes,,,"LINESTRING (13.2759752 52.4994261, 13.2759836 52.4993699, 13.2760227 52.4992464, 13.2760705 52.4991809, 13.2761319 52.49914, 13.2761806 52.4991161, 13.2762703 52.4990955)"
secondary,2.0,,,,,L 400,good,"LINESTRING (13.5666704 52.3414369, 13.5675209 52.3406818)"
secondary,2.0,,70.0,,,L 30,good,"LINESTRING (13.7294697 52.3851978, 13.7308489 52.385804, 13.73154 52.3861108, 13.7319578 52.3862789, 13.7323087 52.3863929, 13.7329457 52.3865578, 13.7334621 52.3866929, 13.7370274 52.3876151)"
secondary,2.0,,60.0,,,L 402,good,"LINESTRING (13.5664473 52.3419154, 13.5665862 52.341951, 13.5666141 52.3419547, 13.5666649 52.3419596, 13.5668072 52.3419665, 13.5669578 52.341966)"
secondary,2.0,,100.0,,,L 77,,"LINESTRING (13.1891759 52.3597796, 13.1890441 52.3597176, 13.1887693 52.3596271, 13.1885875 52.3594855, 13.1877929 52.3588667, 13.1863194 52.3577218, 13.1856379 52.3571922, 13.1824209 52.3547914, 13.1803729 52.3536227, 13.1790384 52.352842, 13.1784756 52.3525368, 13.178219 52.3524034, 13.1767667 52.35186, 13.17119 52.3498382, 13.1706477 52.3496449, 13.1703488 52.3495384, 13.1693924 52.3491975, 13.1652573 52.3477234, 13.1642671 52.3472601, 13.1641382 52.3471998, 13.1640589 52.3471521, 13.1637375 52.3469585, 13.1632244 52.3466543, 13.1625862 52.3462752, 13.1619341 52.3458926, 13.1610506 52.345369, 13.1607953 52.3452188, 13.1605142 52.3450555, 13.1604085 52.3449968, 13.1600558 52.3447728, 13.1598445 52.3446218, 13.1595031 52.344351, 13.1592905 52.3441773, 13.1590692 52.3440207, 13.1587497 52.3437494, 13.1585091 52.3435612, 13.1573433 52.3426236)"
secondary,2.0,,70.0,,,L 77,,"LINESTRING (13.1480192 52.3361606, 13.1478847 52.3360342, 13.147649 52.3358708, 13.1473685 52.3357228, 13.1471511 52.3356083, 13.1468051 52.335443, 13.1464675 52.3352997, 13.1463269 52.3352609, 13.1461167 52.3352083, 13.1459149 52.335191, 13.1456709 52.3351687)"
secondary,3.0,yes,50.0,,yes,,good,"LINESTRING (13.2945638 52.5763051, 13.29462 52.5762014)"
secondary,,,60.0,,,L 794,good,"LINESTRING (13.2505877 52.3397976, 13.250661 52.3398454, 13.2507832 52.339893)"
primary,2.0,,70.0,,yes,L 76,,"LINESTRING (13.3260702 52.379491, 13.325069 52.3798653, 13.3249623 52.3799052)"
primary,4.0,yes,50.0,,yes,,good,"LINESTRING (13.5507271 52.4291425, 13.5506002 52.4290506)"
secondary,3.0,no,,,,L 79,,"LINESTRING (13.1386307 52.3532689, 13.1384114 52.3533792, 13.1381395 52.3535408, 13.137734 52.353818, 13.137525 52.3539417)"
secondary,3.0,no,60.0,,,L 79,,"LINESTRING (13.1427584 52.3521067, 13.1426146 52.3521411)"
secondary,,yes,50.0,,,,good,"LINESTRING (13.5297646 52.4357681, 13.5299275 52.4358498)"
secondary,,,70.0,,,L 30,intermediate,"LINESTRING (13.6686957 52.6336326, 13.6601684 52.643519, 13.6592605 52.6445751, 13.655796 52.648605, 13.6531709 52.6516376, 13.6517887 52.6532495, 13.6513799 52.6536814, 13.651219 52.6538168, 13.6510906 52.6539088, 13.6502138 52.654477, 13.6497293 52.6547931, 13.6486012 52.6555268, 13.6455035 52.6575457, 13.6444903 52.6582025, 13.6437845 52.6586597)"
secondary,3.0,no,70.0,,,L 20,,"LINESTRING (13.11065 52.5304078, 13.110659 52.530525, 13.1106968 52.5308345)"
secondary,2.0,,70.0,,,L 20,excellent,"LINESTRING (13.1104649 52.5277333, 13.1104764 52.5279746, 13.110478 52.5280064)"
primary,3.0,,70.0,,yes,L 76,,"LINESTRING (13.3239689 52.3801535, 13.324131 52.3800852, 13.3245587 52.3799209)"
primary,2.0,,70.0,,yes,L 76,,"LINESTRING (13.3239272 52.3803385, 13.3236255 52.3804874, 13.3235295 52.3805522, 13.3233393 52.3806893, 13.3232379 52.3807684)"
secondary,2.0,yes,50.0,,yes,,good,"LINESTRING (13.5147393 52.4687627, 13.5146585 52.4688057, 13.5146254 52.4688233, 13.5145375 52.4688701)"
secondary,3.0,yes,50.0,,yes,,good,"LINESTRING (13.5145375 52.4688701, 13.5143353 52.4687615)"
primary,2.0,no,100.0,,yes,B 101,,"LINESTRING (13.3525268 52.4019416, 13.3519546 52.4013989, 13.3509973 52.4005075)"
secondary,2.0,no,70.0,,,L 236,intermediate,"LINESTRING (13.6565942 52.6668494, 13.6571453 52.6667473, 13.6611488 52.6659991, 13.6647867 52.6653304, 13.6716237 52.6640666, 13.6732102 52.6637737, 13.6742928 52.6635547, 13.6748953 52.6634398, 13.6752425 52.6633944)"
secondary,2.0,no,80.0,,,L 30,good,"LINESTRING (13.69837 52.5903419, 13.699898 52.5890887, 13.7006817 52.5884535, 13.7013395 52.5879189, 13.701574 52.5877256, 13.7018231 52.5875036, 13.7021247 52.5872228, 13.7029912 52.5863844, 13.7043097 52.5850933, 13.7059874 52.5834458, 13.7064675 52.5829781, 13.7068646 52.5825867, 13.7093657 52.5801447, 13.7111164 52.5784383, 13.7116037 52.577953, 13.7120516 52.5775145, 13.7128622 52.576757, 13.7132085 52.5764269, 13.7133383 52.5762941, 13.7134424 52.5761783, 13.7141818 52.5752668, 13.7149556 52.5743144)"
secondary,2.0,,100.0,,,L 20,,"LINESTRING (13.1035163 52.4755878, 13.1036496 52.4758929, 13.1037841 52.4761443, 13.104084 52.4765461, 13.104329 52.4768342, 13.1047512 52.4772517, 13.1055659 52.4780376, 13.1055935 52.4780635, 13.1105774 52.4828757, 13.1183092 52.4903039, 13.1183585 52.4903472, 13.1213863 52.4932535)"
secondary,2.0,,70.0,,,L 31,excellent,"LINESTRING (13.6015803 52.6553232, 13.6022582 52.6542614, 13.6023302 52.6541558, 13.6075524 52.6463511, 13.6077151 52.6461208, 13.6078282 52.6459885, 13.6079635 52.6458585, 13.6080765 52.6457671, 13.608245 52.645652, 13.6086165 52.6454284, 13.6093968 52.6449701, 13.6102449 52.644472, 13.6104897 52.6443263, 13.6107202 52.6441709, 13.6108225 52.6440866, 13.6109112 52.6439973, 13.6109833 52.6438898, 13.6111175 52.643609, 13.6116167 52.6423065, 13.611679 52.6421438, 13.6117591 52.6418844, 13.6117735 52.6417929, 13.6117734 52.6416818, 13.6117493 52.6415489, 13.6117221 52.6413846, 13.6114971 52.6401826, 13.6112745 52.6392545, 13.6112726 52.6392464)"
primary,3.0,yes,50.0,,yes,B 1,intermediate,"LINESTRING (13.4152577 52.5206879, 13.41536 52.5207921)"
secondary,,,,,,,,"LINESTRING (13.1892291 52.3597423, 13.1892977 52.359716, 13.1893757 52.3597029, 13.1894206 52.3597036, 13.1894566 52.359704, 13.1895388 52.3597209, 13.1896085 52.3597525, 13.1896589 52.3597957, 13.189685 52.3598462, 13.1896844 52.3598991, 13.1896572 52.3599494, 13.1896058 52.3599922, 13.1895355 52.3600232, 13.1894529 52.3600394, 13.189362 52.3600389, 13.1892762 52.3600205, 13.1892046 52.3599863, 13.189155 52.3599397, 13.1891326 52.3598859, 13.1891398 52.3598306, 13.1891759 52.3597796, 13.1892291 52.3597423)"
secondary,2.0,,100.0,,,L 794,good,"LINESTRING (13.2537769 52.3304367, 13.2532269 52.3316228, 13.2530146 52.3320771, 13.2522869 52.3336112, 13.2520959 52.3340105, 13.2520412 52.3341202, 13.2518442 52.3345928, 13.2517071 52.3350135, 13.2515491 52.335658, 13.2514125 52.3362719, 13.2512022 52.3371244, 13.250976 52.3379843, 13.2505892 52.3394313, 13.2505562 52.3395707)"
secondary,2.0,no,60.0,,,L 79,good,"LINESTRING (13.1497116 52.3497855, 13.1492873 52.3501862, 13.1490011 52.350338, 13.1487164 52.3504378, 13.1484825 52.3505083, 13.1476551 52.3507578)"
secondary,2.0,no,60.0,,,L 79,good,"LINESTRING (13.1476551 52.3507578, 13.1474496 52.3508219, 13.1459773 52.3512611)"
primary,2.0,,70.0,,yes,L 76,,"LINESTRING (13.3614179 52.370652, 13.3616533 52.3706093, 13.3619307 52.3705549)"
primary,3.0,yes,50.0,,yes,B 1,,"LINESTRING (13.4033864 52.5124751, 13.4027972 52.5120756, 13.4027294 52.5120297)"
secondary,2.0,no,70.0,,,L 402,excellent,"LINESTRING (13.5195822 52.343982, 13.5196525 52.3440164, 13.5197084 52.3440439, 13.5199055 52.3441422, 13.5199607 52.3441686, 13.5202353 52.3443029, 13.5205067 52.3444337, 13.5206461 52.3444957, 13.5207957 52.3445499, 13.5210562 52.3446367, 13.5213996 52.3447049)"
primary,2.0,disused,80.0,,yes,L 76,good,"LINESTRING (13.4128029 52.367272, 13.4124677 52.3672794, 13.4103059 52.3673133, 13.4099226 52.3673162, 13.4094104 52.3673098, 13.4078345 52.367331, 13.4059019 52.3673686, 13.4002571 52.3674572, 13.3994507 52.3674717, 13.3991959 52.3674751)"
primary,2.0,yes,100.0,,yes,L 76,good,"LINESTRING (13.4127991 52.3671622, 13.4131585 52.3671587, 13.4197365 52.3670144)"
secondary,1.0,yes,50.0,,,,good,"LINESTRING (13.6958888 52.4794545, 13.6959086 52.4794905, 13.6959099 52.4795285, 13.6958925 52.479565, 13.6958581 52.4795967, 13.6958098 52.4796207, 13.6957519 52.4796349, 13.6957346 52.4796359, 13.6956962 52.4796382, 13.6956412 52.4796322, 13.6955908 52.4796176, 13.6955486 52.4795952)"
secondary,2.0,no,100.0,,,L 400,good,"LINESTRING (13.5688701 52.3857384, 13.5691076 52.3862156)"
primary,2.0,no,70.0,,,B 2,good,"LINESTRING (13.5136529 52.6001122, 13.513311 52.5998916, 13.5131049 52.5997757, 13.5128881 52.5996597, 13.5127346 52.5995837, 13.5124168 52.5994329, 13.5092513 52.5981768)"
primary,2.0,no,120.0,,yes,L 76,excellent,"LINESTRING (13.3616762 52.370721, 13.3612046 52.3707987, 13.3558034 52.3718925, 13.3503623 52.3730256, 13.3493036 52.373236, 13.3487251 52.373325, 13.3481415 52.3733996, 13.3474112 52.3734794, 13.3463538 52.3735901, 13.3457578 52.373663, 13.3451691 52.3737535, 13.3443691 52.3739019, 13.3417883 52.374493, 13.3374685 52.3753528, 13.3365911 52.375553, 13.3357117 52.3757775, 13.3344725 52.3761487)"
secondary,2.0,,100.0,,,L 33,,"LINESTRING (13.723467 52.5444322, 13.723842 52.5445137)"
secondary,1.0,,50.0,,,L 30,excellent,"LINESTRING (13.5382268 52.6749551, 13.5381991 52.6749841, 13.5381663 52.6750041, 13.5381267 52.6750189, 13.5380826 52.6750277, 13.5380274 52.6750297, 13.5379734 52.6750225, 13.5379248 52.6750065, 13.5378871 52.6749843, 13.5378603 52.6749569, 13.5378462 52.6749263, 13.5378459 52.6748944, 13.5378593 52.6748638, 13.5378854 52.6748364, 13.5379223 52.674814, 13.537975 52.6747966, 13.5380444 52.6747894, 13.5380912 52.6747929, 13.5381444 52.6748062, 13.5381891 52.6748282, 13.5382216 52.6748571, 13.5382386 52.674889, 13.5382404 52.6749226, 13.5382268 52.6749551)"
primary,2.0,yes,50.0,,yes,B 96,,"LINESTRING (13.4186892 52.3753409, 13.4186092 52.3754468)"
secondary,3.0,no,70.0,,,L 20,,"LINESTRING (13.1104833 52.5281186, 13.1104889 52.5282353, 13.1105625 52.5292378)"
secondary,2.0,,,,,L 20,,"LINESTRING (13.1403197 52.622285, 13.1402258 52.622233, 13.1388309 52.6214612)"
primary,2.0,,120.0,,yes,L 76,,"LINESTRING (13.3344725 52.3761487, 13.3341089 52.3762785)"
primary,2.0,,100.0,,yes,L 76,,"LINESTRING (13.3340376 52.3761844, 13.3343873 52.3760585)"
primary,2.0,,100.0,,yes,L 76,,"LINESTRING (13.3341089 52.3762785, 13.3331771 52.37661, 13.3322229 52.3770109, 13.3307418 52.3776559, 13.3293359 52.3782419)"
primary,2.0,,120.0,,yes,L 76,,"LINESTRING (13.3343873 52.3760585, 13.3356907 52.3756778, 13.3365309 52.3754529, 13.3374546 52.3752526, 13.3417307 52.3743949, 13.3442778 52.3738157, 13.3451145 52.3736593, 13.3457461 52.3735595, 13.3463343 52.3734858, 13.3474603 52.3733711, 13.3481134 52.373295, 13.348676 52.3732259, 13.3492752 52.3731264, 13.3503294 52.3729194)"
secondary,1.0,yes,50.0,,,,excellent,"LINESTRING (13.4037231 52.3481654, 13.4036609 52.3481772, 13.4035909 52.3481757, 13.403536 52.3481631, 13.403486 52.3481394, 13.4034732 52.3481301, 13.403441 52.3480921, 13.4034324 52.3480476, 13.4034429 52.3480156, 13.4034608 52.3479922, 13.4034992 52.3479639, 13.4035496 52.3479438)"
primary,2.0,no,,,,B 158,good,"LINESTRING (13.6498745 52.6109167, 13.6500239 52.6109421, 13.6503024 52.6109903, 13.6505646 52.6110677, 13.6507719 52.6111523)"
primary,2.0,no,50.0,,,B 158,good,"LINESTRING (13.6509995 52.6112823, 13.6511765 52.6114113)"
primary,2.0,no,50.0,,,B 158,good,"LINESTRING (13.6507719 52.6111523, 13.6509995 52.6112823)"
primary,2.0,no,50.0,,,B 158,good,"LINESTRING (13.6511765 52.6114113, 13.6513062 52.6115028, 13.6517592 52.6118324)"
secondary,,yes,50.0,,yes,,good,"LINESTRING (13.5145097 52.4465077, 13.5143638 52.4464981, 13.5143143 52.4464948, 13.5141526 52.4464842)"
primary,3.0,no,70.0,,,B 2,good,"LINESTRING (13.5081498 52.5977397, 13.5072552 52.5973814)"
secondary,2.0,,70.0,,,L 30,intermediate,"LINESTRING (13.6695762 52.6326155, 13.6695176 52.6326701, 13.6686957 52.6336326)"
primary,3.0,yes,50.0,,yes,B 2;B 5,good,"LINESTRING (13.4162698 52.5220284, 13.4165351 52.5218939)"
secondary,,yes,50.0,,,,good,"LINESTRING (13.52711 52.437831, 13.5270038 52.4377815, 13.5269792 52.4377708, 13.5268985 52.4377276, 13.5268912 52.4377239)"
secondary,,yes,,,,,excellent,"LINESTRING (13.4532149 52.4497952, 13.453419 52.4498294)"
secondary,,yes,50.0,,,,excellent,"LINESTRING (13.4538218 52.4482288, 13.4540211 52.4482605)"
secondary,,,80.0,,,L 77,,"LINESTRING (13.148217 52.3363456, 13.1480192 52.3361606)"
secondary,1.0,yes,50.0,,yes,,good,"LINESTRING (13.5694233 52.4445038, 13.5694183 52.4445139, 13.5694052 52.4445408, 13.5693906 52.4445701, 13.569387 52.4445772, 13.5693717 52.4446086, 13.569336 52.4446791)"
secondary,,yes,,,,,intermediate,"LINESTRING (13.5839873 52.4642181, 13.5840773 52.464214, 13.5841232 52.4642119, 13.5841918 52.4642087)"
primary,3.0,,70.0,,yes,B 1;B 5,,"LINESTRING (13.7496029 52.498181, 13.7513712 52.4979072)"
primary,3.0,,70.0,,yes,B 1;B 5,,"LINESTRING (13.7512556 52.4980166, 13.7494643 52.4982945)"
primary,3.0,,70.0,,yes,B 96a,good,"LINESTRING (13.4381988 52.3655737, 13.4387901 52.3654106, 13.4397519 52.3651302, 13.4404927 52.3648903, 13.4407179 52.3647957)"
primary,2.0,,100.0,,yes,B 96a,good,"LINESTRING (13.4267073 52.3668983, 13.4276856 52.3668943, 13.430216 52.3668173, 13.431627 52.3667153, 13.4324889 52.3666317, 13.4333584 52.366525, 13.434333 52.3663861)"
primary,3.0,yes,70.0,,yes,L 76,good,"LINESTRING (13.4197365 52.3670144, 13.4220081 52.366976, 13.422222 52.3669724)"
secondary,2.0,,,,,L 77,,"LINESTRING (13.2340843 52.3612694, 13.2341178 52.3613586, 13.2343584 52.3619015, 13.2345842 52.3624086)"
secondary,2.0,,50.0,,,,,"LINESTRING (13.2850662 52.3500204, 13.2848644 52.3498106)"
secondary,,yes,50.0,,,,,"LINESTRING (13.5859486 52.4675887, 13.5860139 52.4675596, 13.5860558 52.467541, 13.586108 52.4675178)"
secondary,1.0,yes,50.0,,,L 30,excellent,"LINESTRING (13.3131222 52.6346919, 13.3130953 52.6346591, 13.3130845 52.634623, 13.3130909 52.6345865, 13.3131138 52.6345526)"
secondary,2.0,no,70.0,,,L 79,good,"LINESTRING (13.1208753 52.3560818, 13.1200711 52.3559291)"
primary,3.0,yes,70.0,,yes,L 76,good,"LINESTRING (13.4154743 52.3672029, 13.4132143 52.3672558, 13.413164 52.367257, 13.4128029 52.367272)"
secondary,3.0,,70.0,,,L 33,,"LINESTRING (13.6952523 52.5515358, 13.6954528 52.5514747, 13.695555 52.5514436, 13.6969583 52.5509448)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2717024 52.4020408, 13.2717252 52.4020078, 13.2717636 52.4019808, 13.2718035 52.4019651, 13.2718485 52.401956, 13.2718959 52.4019541, 13.2719439 52.4019598, 13.2719879 52.4019728, 13.2720249 52.4019924, 13.2720504 52.4020149, 13.2720665 52.4020404, 13.2720722 52.4020676, 13.2720671 52.4020947, 13.2720504 52.4021219, 13.272023 52.4021456, 13.2719765 52.4021682, 13.2719207 52.4021807, 13.2718613 52.402182, 13.2718172 52.4021752, 13.2717771 52.4021623, 13.2717433 52.4021438, 13.2717115 52.4021127, 13.2716974 52.4020772, 13.2717024 52.4020408)"
secondary,,yes,,,,,good,"LINESTRING (13.4352903 52.4344039, 13.4350866 52.4344007)"
secondary,2.0,,50.0,,,L 312,good,"LINESTRING (13.5670073 52.647997, 13.567095 52.647978, 13.5671301 52.6479713, 13.567515 52.6478974)"
secondary,2.0,,80.0,,,L 400,good,"LINESTRING (13.5675209 52.3406818, 13.5696832 52.3386175, 13.5720712 52.3363842, 13.5726376 52.3358367)"
secondary,2.0,,,,,L 400,good,"LINESTRING (13.5632542 52.3446467, 13.5638665 52.3440688, 13.5642187 52.3437383, 13.5645472 52.3434301, 13.5651371 52.3428826, 13.5653103 52.3427193)"
secondary,2.0,,60.0,,,L 400,good,"LINESTRING (13.5726376 52.3358367, 13.5747975 52.3338465, 13.577372 52.331417, 13.5779113 52.3309259, 13.5781222 52.3307268, 13.5783216 52.3305364, 13.5793434 52.329573, 13.5811383 52.3278904, 13.5824222 52.3266901)"
secondary,2.0,no,,,,L 402,good,"LINESTRING (13.5823863 52.3395859, 13.5861774 52.3392533, 13.5878304 52.339119, 13.587965 52.3391069, 13.5892837 52.3389868, 13.5894982 52.3389673, 13.5909855 52.3388331, 13.5915608 52.3387827)"
secondary,,,80.0,,,L 402,good,"LINESTRING (13.5698121 52.3415293, 13.5725009 52.3408702)"
secondary,2.0,yes,50.0,,yes,,good,"LINESTRING (13.5136699 52.4647512, 13.5136253 52.464749, 13.5135849 52.4647467, 13.5135228 52.4647428)"
primary,2.0,no,70.0,,yes,B 101,,"LINESTRING (13.3425923 52.3924052, 13.3416028 52.3917231)"
primary,3.0,disused,80.0,,yes,L 76,good,"LINESTRING (13.410533 52.3671982, 13.4107272 52.3672106, 13.4124148 52.3671808, 13.4124713 52.3671799, 13.4127991 52.3671622)"
primary,3.0,yes,70.0,,yes,L 76,excellent,"LINESTRING (13.3991959 52.3674751, 13.3977062 52.3675023, 13.3968348 52.3675164, 13.3964956 52.3675241)"
secondary,3.0,yes,50.0,,,,good,"LINESTRING (13.3250587 52.5175071, 13.3249453 52.517407)"
primary,3.0,yes,50.0,,yes,B 96,good,"LINESTRING (13.3476663 52.5744188, 13.3477032 52.5742902)"
secondary,3.0,yes,50.0,,yes,,good,"LINESTRING (13.5143353 52.4687615, 13.5144177 52.4687141, 13.5144476 52.4686968, 13.5145319 52.4686483)"
secondary,1.0,,,,,,,"LINESTRING (13.2352997 52.3638097, 13.2353862 52.3638201, 13.2354634 52.3638461, 13.2355239 52.3638852, 13.235562 52.3639338, 13.235574 52.3639881, 13.2355579 52.364042, 13.2355151 52.3640901, 13.2354501 52.3641278, 13.235369 52.3641513, 13.23528 52.3641584, 13.2351917 52.3641481, 13.235113 52.3641217, 13.2350517 52.3640816, 13.2350137 52.3640319, 13.235003 52.3639775, 13.2350204 52.3639236, 13.2350643 52.3638758, 13.2351304 52.3638387, 13.2352121 52.3638159, 13.2352997 52.3638097)"
secondary,1.0,,,,,,excellent,"LINESTRING (13.2342776 52.3611434, 13.2342682 52.3611583, 13.2342511 52.3611854, 13.234208 52.3612219, 13.2341512 52.3612505, 13.2340843 52.3612694, 13.2339963 52.3612774, 13.2339085 52.3612687, 13.2338292 52.361244, 13.2337785 52.3612154, 13.2337404 52.3611801, 13.2337172 52.3611404, 13.2337102 52.3610984, 13.2337211 52.3610537, 13.2337502 52.3610122, 13.2337957 52.3609766, 13.2338545 52.3609493, 13.2339476 52.3609286, 13.2340467 52.3609284, 13.23414 52.3609487, 13.2342165 52.3609872, 13.2342517 52.3610233, 13.2342671 52.3610392, 13.2342858 52.3610987, 13.2342776 52.3611434)"
secondary,2.0,,70.0,,,L 77,,"LINESTRING (13.235369 52.3641513, 13.2359754 52.3655571, 13.2363757 52.366588, 13.2365453 52.3670428, 13.2367381 52.3675814, 13.2370318 52.368553, 13.2372245 52.3693736, 13.2373295 52.3698827, 13.2373988 52.3703569, 13.2374363 52.3707318, 13.2374921 52.3715529, 13.2374523 52.3727754, 13.237293 52.3739729, 13.237102 52.3747351, 13.2368527 52.3755531, 13.2365558 52.376319, 13.2361597 52.377164, 13.2356737 52.3780688, 13.2351004 52.3789308, 13.2346781 52.3795404, 13.2346127 52.3796375)"
primary,2.0,,120.0,,yes,L 76,excellent,"LINESTRING (13.3656406 52.3693355, 13.3664659 52.3689676, 13.3672122 52.3686969, 13.368307 52.3683709, 13.3690474 52.3682142, 13.3697228 52.3680971, 13.3705323 52.367976, 13.3715365 52.367911, 13.3876392 52.3675556, 13.3878624 52.367551, 13.3894835 52.3675236, 13.3926239 52.3674705)"
primary,2.0,,120.0,,yes,L 76,,"LINESTRING (13.3503294 52.3729194, 13.3557834 52.3717931, 13.3604056 52.3708562)"
primary,3.0,,70.0,,yes,L 76,,"LINESTRING (13.3273583 52.3790008, 13.3263222 52.3793927, 13.3262746 52.3794107, 13.3260702 52.379491)"
primary,2.0,,70.0,,yes,B 96a,good,"LINESTRING (13.4285161 52.3669864, 13.4284042 52.3669865)"
primary,2.0,,70.0,,yes,L 76,,"LINESTRING (13.3232379 52.3807684, 13.3230626 52.3809405, 13.322951 52.3810455, 13.3228408 52.3811708, 13.3227468 52.38129, 13.3225411 52.3815327, 13.3223639 52.3816982, 13.3220518 52.3819033, 13.3217615 52.3820369, 13.3213439 52.3821813)"
primary,2.0,,70.0,,yes,L 76,,"LINESTRING (13.323093 52.3807042, 13.3234462 52.3804527, 13.3239689 52.3801535)"
primary,2.0,yes,80.0,,yes,L 76,good,"LINESTRING (13.3964766 52.3674071, 13.3973026 52.3673941, 13.3987968 52.3673694)"
primary,2.0,no,120.0,,yes,L 76,excellent,"LINESTRING (13.3959194 52.3675333, 13.3947447 52.3675616, 13.3937718 52.3675571, 13.3877313 52.3676796, 13.3828539 52.367772, 13.3716505 52.3680416, 13.3707709 52.3681056, 13.369838 52.3682214, 13.369078 52.3683557, 13.3685572 52.3684684)"
primary,3.0,yes,80.0,,yes,L 76,excellent,"LINESTRING (13.3963286 52.3674109, 13.3964766 52.3674071)"
secondary,2.0,,100.0,,,L 33,,"LINESTRING (13.719033 52.5443177, 13.7202894 52.5442385)"
secondary,2.0,,100.0,,,L 33,,"LINESTRING (13.7202894 52.5442385, 13.7207498 52.544216, 13.7210438 52.54421, 13.7212847 52.5442105, 13.7216369 52.5442203, 13.7220134 52.5442402, 13.7224496 52.5442773, 13.7227378 52.5443137, 13.722993 52.5443487, 13.723235 52.5443899, 13.723467 52.5444322)"
secondary,2.0,,100.0,,,L 33,,"LINESTRING (13.750962 52.5579699, 13.7524761 52.5581079, 13.7539671 52.5582984, 13.7562741 52.5587823, 13.7585094 52.5594895, 13.7595007 52.5598973, 13.7597184 52.5599868)"
secondary,2.0,,100.0,,,L 33,,"LINESTRING (13.7506647 52.5579471, 13.750962 52.5579699)"
primary,3.0,yes,50.0,,yes,,good,"LINESTRING (13.5507059 52.4289774, 13.5508411 52.42907)"
secondary,2.0,no,70.0,,,L 79,,"LINESTRING (13.1275805 52.3556297, 13.1272789 52.3556635)"
secondary,2.0,no,70.0,,,L 79,,"LINESTRING (13.1272789 52.3556635, 13.1261292 52.3557924)"
secondary,1.0,yes,50.0,,,,excellent,"LINESTRING (13.126196 52.5608524, 13.126207 52.5609258, 13.1261814 52.5609978, 13.1261216 52.5610619, 13.1260329 52.5611122, 13.1259236 52.561144, 13.1257978 52.5611544, 13.1256729 52.5611404, 13.1255615 52.5611033, 13.1254748 52.5610469, 13.1254216 52.5609768, 13.1254071 52.5608997, 13.1254333 52.5608237, 13.1254976 52.5607565, 13.1255933 52.5607051, 13.1257108 52.5606747, 13.1258092 52.5606675, 13.1259074 52.5606753, 13.1259995 52.5606974, 13.1260798 52.5607326, 13.1261435 52.5607787, 13.126196 52.5608524)"
secondary,1.0,,100.0,,yes,L 77,excellent,"LINESTRING (13.1569489 52.342219, 13.1570441 52.3423102, 13.1572406 52.3424993, 13.1573433 52.3426236)"
secondary,1.0,,50.0,,yes,L 79,excellent,"LINESTRING (13.1572439 52.341567, 13.1569987 52.3418899, 13.1569322 52.3419898)"
secondary,,,80.0,,,L 77,,"LINESTRING (13.1561294 52.3416457, 13.1559716 52.3415166, 13.1541358 52.3400523, 13.1538607 52.3398258, 13.1532564 52.3393448, 13.1526917 52.338896, 13.1525055 52.3387531, 13.1523376 52.338624, 13.1520107 52.3384242, 13.151612 52.3382102, 13.1509832 52.3378836, 13.1504273 52.337597, 13.1501512 52.3374556, 13.1497494 52.3372454, 13.1494841 52.3371064, 13.1490772 52.3368935, 13.1488093 52.3367548, 13.1486836 52.3366822, 13.1485641 52.336608, 13.1484748 52.3365538, 13.1483975 52.3364974)"
secondary,2.0,,70.0,,,L 79,good,"LINESTRING (13.1562005 52.3426925, 13.1550315 52.3439691, 13.1544247 52.3446248, 13.1526473 52.3466178, 13.1520082 52.347334, 13.1505515 52.3488889)"
secondary,2.0,,100.0,,,L 30,good,"LINESTRING (13.3248489 52.6455833, 13.3249587 52.6456629, 13.3268099 52.6469576, 13.3277876 52.6476078, 13.3280519 52.6477349, 13.3284634 52.6478427, 13.3321735 52.6485827, 13.3346343 52.6490483)"
primary,3.0,no,70.0,,yes,L 76,excellent,"LINESTRING (13.3630444 52.3703155, 13.3634413 52.3702163, 13.3635782 52.3701744)"
secondary,2.0,,80.0,,,L 40,,"LINESTRING (13.3818131 52.3361236, 13.3828217 52.3357737, 13.3839733 52.3353763, 13.3854376 52.3348715, 13.3864937 52.3345068, 13.3874166 52.334164, 13.3887787 52.3336233, 13.3903783 52.3329382, 13.390736 52.332771, 13.390952 52.3326544, 13.3911681 52.3325299, 13.391381 52.3324002, 13.3918498 52.3321092, 13.3921179 52.3319318)"
