highway,lanes,lit,maxspeed,name,oneway,ref,smoothness,geometry
secondary,2,yes,50,Niederlehmer Chaussee,,L 30,intermediate,"LINESTRING (13.700672 52.3683552, 13.7004995 52.3678124)"
secondary,3,yes,50,Messedamm,yes,,,"LINESTRING (13.2802152 52.506368, 13.2801725 52.5062808)"
primary,5,yes,50,Heerstraße,,B 2;B 5,excellent,"LINESTRING (13.2611617 52.5086784, 13.2610904 52.5086743, 13.2610064 52.5086695)"
primary,3,yes,50,Straße des 17. Juni,yes,B 2;B 5,excellent,"LINESTRING (13.3235011 52.5126421, 13.3263518 52.5128357, 13.3264751 52.5128435, 13.3266442 52.5128542, 13.3267744 52.5128625, 13.3270677 52.5128822, 13.3271636 52.5128884, 13.3285094 52.5129758, 13.3297961 52.513058, 13.3299497 52.5130673, 13.3299976 52.513069)"
primary,1,yes,30,Elsenbrücke,yes,B 96a,good,"LINESTRING (13.4639825 52.4966254, 13.4623632 52.49527)"
secondary,2,yes,50,Scharnweberstraße,yes,,good,"LINESTRING (13.3083389 52.5679923, 13.3092604 52.5679701, 13.30947 52.5679666, 13.3102893 52.567953, 13.3103265 52.5679528, 13.3103656 52.5679515, 13.3105674 52.5679471)"
primary,3,yes,50,Mehringdamm,yes,B 96,excellent,"LINESTRING (13.3879354 52.4934731, 13.3878625 52.4933551, 13.3878339 52.4933134, 13.3878067 52.4932692, 13.3877605 52.4931942)"
primary,2,yes,50,Bulgarische Straße,yes,B 96a,,"LINESTRING (13.4733832 52.4813225, 13.4733658 52.4813467, 13.4733477 52.4813815, 13.473338 52.4814169, 13.4733392 52.4814525, 13.473347 52.4814889, 13.4733643 52.481526, 13.4733854 52.4815574, 13.4734088 52.481586, 13.4734731 52.481641)"
primary,2,yes,50,Roedernallee,yes,B 96,good,"LINESTRING (13.3339504 52.593653, 13.3336105 52.5939389, 13.3335347 52.5940012, 13.333341 52.5941622)"
secondary,2,yes,50,Wernsdorfer Straße,,L 30,good,"LINESTRING (13.738901 52.3881021, 13.739099 52.3881495, 13.7392697 52.3881874, 13.7394498 52.3882217, 13.7396209 52.3882466, 13.7397511 52.3882611, 13.7398828 52.3882733, 13.7402113 52.3882993, 13.7409478 52.3883612, 13.7410612 52.3883722)"
secondary,2,yes,50,Spreebordstraße,,L 30,good,"LINESTRING (13.7421755 52.389319, 13.7424776 52.3898361, 13.7425149 52.389901, 13.7425831 52.3900115, 13.742693 52.3902022)"
primary,2,yes,50,Warschauer Straße,yes,B 96a,good,"LINESTRING (13.4502278 52.5074663, 13.4503204 52.5075316, 13.4503746 52.5075767, 13.4504452 52.5076484, 13.4505161 52.5077385, 13.4505302 52.5077594, 13.4507479 52.5080899)"
secondary,,yes,50,Reichsstraße,yes,,,"LINESTRING (13.2521769 52.5215775, 13.253189 52.5212563, 13.2537383 52.5210829, 13.254361 52.5208869, 13.2544719 52.5208478, 13.2545363 52.5208182, 13.2545935 52.5207871, 13.2547723 52.5206443, 13.2551019 52.5203956, 13.2559381 52.5197647)"
primary,2,yes,50,Alt-Friedrichsfelde,yes,B 1;B 5,good,"LINESTRING (13.5196481 52.5095657, 13.5206916 52.5095451, 13.5214821 52.5095643, 13.5222737 52.5096005, 13.5233478 52.5097064, 13.5242377 52.5098177, 13.5248914 52.509877)"
primary,3,yes,50,Wisbyer Straße,yes,,good,"LINESTRING (13.4299934 52.5510442, 13.4300719 52.5510151, 13.4300832 52.5510109, 13.4301156 52.5509992, 13.4301224 52.5509969, 13.430239 52.550953)"
secondary,4,yes,50,Masurenallee,yes,,good,"LINESTRING (13.2726912 52.50884, 13.2727984 52.5088123, 13.2728735 52.5087843, 13.273009 52.5087132, 13.2730418 52.5086962, 13.2730761 52.5086784)"
secondary,2,yes,50,Alt-Friedrichsfelde,yes,,good,"LINESTRING (13.515844 52.5100572, 13.5148304 52.5101488, 13.5145935 52.5101618, 13.5137825 52.510188)"
primary,2,yes,50,Prenzlauer Promenade,yes,,good,"LINESTRING (13.4301052 52.5513646, 13.4301032 52.5513577, 13.4300922 52.5513198, 13.4300584 52.5512031)"
secondary,2,yes,50,Rhinstraße,yes,,good,"LINESTRING (13.5188669 52.514026, 13.5188615 52.5138229, 13.5188566 52.5136691, 13.5188553 52.5136264, 13.5188501 52.5134631)"
primary,2,yes,50,Prenzlauer Allee,yes,,excellent,"LINESTRING (13.430239 52.550953, 13.4302865 52.5510572, 13.4303041 52.5510957)"
primary,2,yes,30,Oranienburger Straße,yes,B 96,excellent,"LINESTRING (13.333341 52.5941622, 13.3333332 52.5941986, 13.3332465 52.5946052)"
