highway,lanes,lit,maxspeed,name,oneway,ref,smoothness,geometry
primary,2,yes,50,Schöneberger Ufer,yes,B 96,good,"LINESTRING (13.3736299 52.5031114, 13.3736451 52.5031016, 13.3738265 52.5029838, 13.3740288 52.5028594)"
secondary,2,yes,50,Stubenrauchstraße,yes,,good,"LINESTRING (13.4951826 52.4317047, 13.4950826 52.4316314, 13.4949111 52.4315058, 13.4947529 52.4313902, 13.4945895 52.4312665, 13.4942603 52.4310131, 13.4939258 52.4307559, 13.493798 52.4306577, 13.4937662 52.4306332, 13.493607 52.4305107, 13.4933031 52.4302769, 13.4932671 52.4302492, 13.4930137 52.4300543, 13.4929216 52.4299851, 13.4927158 52.4298167, 13.4924869 52.4296441, 13.4924497 52.4296161, 13.4922678 52.4294789, 13.4920108 52.4292851, 13.4917335 52.4290714, 13.4915983 52.4289642, 13.4913957 52.4288106, 13.4913629 52.4287853, 13.4912259 52.4286795, 13.4911836 52.4286468, 13.4909987 52.428504, 13.4908439 52.4283843, 13.4908165 52.4283632, 13.490656 52.4282392, 13.4906338 52.428222, 13.490416 52.4280536, 13.4902887 52.4279585)"
secondary,2,yes,50,Stubenrauchstraße,yes,,good,"LINESTRING (13.497698 52.4336359, 13.4976758 52.4336198)"
secondary,2,yes,30,Joachim-Tiburtius-Brücke,yes,,,"LINESTRING (13.3240866 52.4618222, 13.324116 52.4618066, 13.3245299 52.4616268, 13.3254471 52.4613063)"
secondary,3,yes,30,Schildhornstraße,yes,,,"LINESTRING (13.3222972 52.4623768, 13.3220385 52.4624999)"
primary,2,yes,50,Blumberger Chaussee,,B 158,good,"LINESTRING (13.6712201 52.6213506, 13.6723803 52.6215924, 13.6732729 52.6217838, 13.6739634 52.6219264, 13.674257 52.6219883)"
secondary,2,yes,50,Ahrensfelder Chaussee,,L 311,excellent,"LINESTRING (13.5895846 52.569769, 13.5896254 52.5696752, 13.5896933 52.5695204, 13.5897005 52.569504, 13.5897278 52.5694418, 13.5897871 52.5693032, 13.5897971 52.5692798, 13.5898185 52.5692296, 13.5898267 52.5692103, 13.5899234 52.5689842, 13.5899385 52.5689514, 13.5899501 52.5689263, 13.5900291 52.5687578, 13.5900989 52.5685951, 13.5902047 52.5683532, 13.5902465 52.5682562, 13.5902568 52.5682331, 13.5902899 52.5681583)"
secondary,2,no,50,Mehrower Chaussee,,L 339,excellent,"LINESTRING (13.6132223 52.5704346, 13.6136138 52.5703767, 13.6137301 52.5703618, 13.6138247 52.5703566, 13.6139381 52.5703605)"
secondary,2,yes,50,Mehrower Dorfstraße,,L 339,excellent,"LINESTRING (13.6148157 52.5707524, 13.6142864 52.5704745, 13.6142059 52.5704338, 13.6141246 52.5704009, 13.6140405 52.5703772, 13.6139381 52.5703605)"
primary,2,no,50,Altlandsberger Chaussee,yes,L 33,good,"LINESTRING (13.6394589 52.5422795, 13.6405888 52.5424107, 13.6412619 52.5425124, 13.6415599 52.5425687)"
secondary,4,yes,50,Spandauer Straße,yes,,good,"LINESTRING (13.4057591 52.519392, 13.4056745 52.519518, 13.4051631 52.5198778, 13.4051286 52.519905, 13.4050528 52.5199628, 13.4050242 52.5199846, 13.4049874 52.5200133)"
secondary,,yes,30,Hüttenweg,,,,"LINESTRING (13.2713605 52.4537092, 13.2719135 52.4535908, 13.2719787 52.4535769, 13.2721426 52.4535346)"
primary,3,yes,50,Strausberger Platz,yes,B 1;B 5,good,"LINESTRING (13.4280245 52.5189158, 13.4280065 52.5189135, 13.4278889 52.5189081, 13.4277665 52.5189096, 13.4275841 52.5189136, 13.427534 52.5189146)"
secondary,3,yes,50,Lichtenberger Straße,yes,,good,"LINESTRING (13.4286456 52.5194973, 13.4284695 52.5192006)"
secondary,2,yes,50,Strausberger Platz,yes,,good,"LINESTRING (13.4275919 52.5187168, 13.4275754 52.518681, 13.4275639 52.5186304, 13.4275638 52.518579, 13.4275693 52.5185338, 13.4276247 52.5184351, 13.4276406 52.5184055)"
primary,3,yes,50,Strausberger Platz,yes,B 1;B 5,good,"LINESTRING (13.4285916 52.5181458, 13.4288528 52.5181814, 13.4291061 52.5182035, 13.4291502 52.518206)"
primary,3,yes,50,Karl-Marx-Allee,yes,B 1;B 5,good,"LINESTRING (13.4300982 52.5183158, 13.4299713 52.5183323, 13.4298484 52.5183517, 13.4297127 52.5183789, 13.4295802 52.5184116, 13.4293895 52.5184717, 13.4293238 52.5184944)"
primary,3,yes,50,Strausberger Platz,yes,B 1;B 5,good,"LINESTRING (13.4289101 52.5186998, 13.4288411 52.5187546, 13.428745 52.5188038, 13.4285889 52.5188651)"
secondary,2,yes,50,Lichtenberger Straße,yes,,good,"LINESTRING (13.427817 52.5180991, 13.4278174 52.5180597, 13.4277933 52.5179911, 13.4277904 52.5179843, 13.4276641 52.5177352)"
secondary,1,yes,50,Lichtenberger Straße,yes,,good,"LINESTRING (13.4270771 52.516775, 13.4269624 52.5166252, 13.4269171 52.5165707, 13.4267931 52.5164174, 13.426653 52.5162508)"
secondary,3,yes,50,Lichtenberger Straße,yes,,good,"LINESTRING (13.4279201 52.5176043, 13.4279582 52.517676, 13.4280548 52.5178391, 13.4280993 52.5179034)"
secondary,2,yes,50,Strausberger Platz,yes,,good,"LINESTRING (13.4290209 52.518379, 13.4290366 52.518432, 13.4290343 52.5184728, 13.4290181 52.5185563, 13.4289589 52.5186424, 13.4289101 52.5186998)"
secondary,2,no,50,Hüttenweg,,,,"LINESTRING (13.2475797 52.4675038, 13.2477273 52.4674777, 13.247875 52.4674515, 13.2500252 52.467078, 13.2517187 52.4667867, 13.2521724 52.4667086, 13.2525223 52.4666343, 13.2526143 52.4666148)"
secondary,2,no,50,Onkel-Tom-Straße,,,,"LINESTRING (13.2474444 52.4667732, 13.2474146 52.4651284, 13.2473916 52.4635299, 13.2473777 52.4629596, 13.2473626 52.4621267, 13.2473535 52.4613172, 13.2473604 52.4610806, 13.2473645 52.4609619, 13.247377 52.4608439, 13.2473976 52.460739, 13.2474247 52.4606353, 13.2474603 52.4605342, 13.2474939 52.4604582, 13.2475086 52.4604325, 13.2475636 52.460346, 13.2478264 52.459994, 13.248232 52.4594919, 13.2488959 52.4586928)"
secondary,2,yes,50,Wartenberger Weg,,,good,"LINESTRING (13.5006197 52.5768757, 13.5000627 52.5770857, 13.4994239 52.5773269)"
primary,2,no,70,,yes,L 76,excellent,"LINESTRING (13.3657964 52.3694038, 13.3655757 52.3695027)"
primary,2,no,100,,yes,L 76,excellent,"LINESTRING (13.3654156 52.3694305, 13.3656406 52.3693355)"
secondary,4,yes,50,Rhinstraße,yes,,good,"LINESTRING (13.5184516 52.5336619, 13.5185625 52.5334837, 13.518631 52.533329, 13.5186831 52.5332007, 13.5187265 52.5330345)"
secondary,2,yes,50,Lichtenberger Straße,yes,,good,"LINESTRING (13.4288653 52.5194563, 13.4289026 52.5195356, 13.4289112 52.5195536)"
primary,3,yes,50,Karl-Marx-Allee,yes,B 1;B 5,excellent,"LINESTRING (13.4269341 52.5189691, 13.4267364 52.5190058, 13.4265535 52.5190443, 13.4264 52.5190827, 13.4261907 52.5191399)"
secondary,,yes,50,Sandhauser Straße,,,,"LINESTRING (13.220496 52.595339, 13.2208795 52.5947803, 13.2209209 52.5947318)"
primary,2,yes,50,Karl-Marx-Allee,yes,B 1;B 5,excellent,"LINESTRING (13.4251018 52.5194663, 13.4235893 52.5199232)"
secondary,2,yes,30,Lange Brücke,yes,,good,"LINESTRING (13.5724521 52.4446268, 13.5712491 52.4446381)"
secondary,1,yes,30,Müggelheimer Straße,yes,,good,"LINESTRING (13.5730044 52.4445778, 13.5729253 52.4445962, 13.5728791 52.4446057, 13.5728301 52.4446131, 13.5727726 52.4446198, 13.5727572 52.4446212, 13.5727387 52.4446223, 13.5727214 52.4446223, 13.5724521 52.4446268)"
primary,3,yes,50,Karl-Marx-Allee,yes,B 1;B 5,excellent,"LINESTRING (13.4235893 52.5199232, 13.4232519 52.5200248, 13.4231995 52.5200406)"
primary,3,yes,50,Karl-Marx-Allee,yes,B 1;B 5,excellent,"LINESTRING (13.4231995 52.5200406, 13.4227813 52.5201675, 13.4226878 52.5201959, 13.4225473 52.5202385, 13.4224521 52.5202674, 13.4223039 52.5203123)"
primary,5,yes,50,Landsberger Allee,yes,,good,"LINESTRING (13.5043045 52.5345013, 13.5052343 52.5345483, 13.5053036 52.5345524, 13.5054173 52.5345569, 13.505571 52.5345636)"
primary,5,yes,50,Landsberger Allee,yes,,excellent,"LINESTRING (13.5072242 52.5348103, 13.5058777 52.5347439, 13.5058138 52.5347398, 13.5056918 52.5347315, 13.5055621 52.534724)"
secondary,2,yes,50,Bahnhofstraße,yes,,good,"LINESTRING (13.5744049 52.4528048, 13.5745036 52.4529011)"
secondary,3,yes,50,Bahnhofstraße,yes,,good,"LINESTRING (13.5727926 52.4516685, 13.5721877 52.4512498, 13.572172 52.4512388, 13.5721458 52.4512202, 13.5720296 52.4511387, 13.5720105 52.4511255, 13.5719699 52.4510975)"
secondary,,yes,50,Glasower Straße,,L 75,good,"LINESTRING (13.4430529 52.3756208, 13.4431201 52.3758669, 13.443187 52.3761577, 13.4431926 52.3761818)"
primary,2,no,100,Waßmannsdorfer Chaussee,yes,B 96a,excellent,"LINESTRING (13.4678968 52.3673765, 13.468597 52.3674993, 13.4769525 52.3687424, 13.478035 52.36897, 13.4793029 52.3693238, 13.4804869 52.3697673, 13.4815936 52.3703002, 13.4822713 52.3707029, 13.4830282 52.3712309, 13.4838692 52.3719738, 13.4845054 52.3727048, 13.4851258 52.3736476, 13.4862962 52.3760717)"
primary,3,,70,Waßmannsdorfer Chaussee,yes,B 96a,good,"LINESTRING (13.4654525 52.3670247, 13.4664159 52.3671634, 13.4666736 52.3672001)"
secondary,2,yes,50,Blankenburger Pflasterweg,,,good,"LINESTRING (13.4803421 52.5835295, 13.4805074 52.5834975, 13.4806075 52.5834783, 13.4812569 52.5833539, 13.4818101 52.5832479, 13.4821897 52.5831751)"
secondary,2,yes,50,Blankenburger Pflasterweg,,,good,"LINESTRING (13.4611186 52.5847335, 13.4611864 52.5847049, 13.4617812 52.5844575, 13.4619832 52.5843803, 13.4621948 52.5843019)"
secondary,2,yes,50,Blankenburger Pflasterweg,,,good,"LINESTRING (13.4621948 52.5843019, 13.4623765 52.5842399, 13.4628363 52.5840937, 13.4633465 52.5839535, 13.463932 52.583822, 13.4643073 52.5837539, 13.4645177 52.5837177, 13.4645702 52.5837099, 13.4645862 52.5837075, 13.4672506 52.5832967, 13.4675472 52.5832575, 13.467719 52.5832458, 13.4678993 52.5832445, 13.4683536 52.5832666, 13.469386 52.5833686, 13.4697347 52.5834141, 13.4699731 52.5834548)"
primary,3,yes,50,Karl-Marx-Allee,yes,B 1;B 5,good,"LINESTRING (13.417876 52.5216651, 13.417803 52.5216898, 13.4175399 52.5217834)"
primary,2,yes,50,Karl-Marx-Allee,yes,B 1;B 5,good,"LINESTRING (13.4180677 52.5215997, 13.4179525 52.521636, 13.417876 52.5216651)"
primary,2,yes,50,Karl-Marx-Allee,yes,B 1;B 5,excellent,"LINESTRING (13.4250081 52.5193257, 13.4252431 52.5192547, 13.4254708 52.5191859)"
primary,2,yes,50,Karl-Marx-Allee,yes,B 1;B 5,excellent,"LINESTRING (13.4171987 52.5216926, 13.4185797 52.5212746, 13.4191291 52.5211083)"
primary,2,yes,50,Karl-Marx-Allee,yes,B 1;B 5,excellent,"LINESTRING (13.4197738 52.5210822, 13.4195206 52.5211598, 13.4192841 52.5212311)"
primary,4,yes,50,Karl-Marx-Allee,yes,B 1;B 5,good,"LINESTRING (13.4169355 52.5219676, 13.4168813 52.5219874, 13.4167742 52.5220305, 13.4167149 52.5220587)"
secondary,2,yes,50,Knausstraße,yes,,,"LINESTRING (13.3385613 52.4664264, 13.3386086 52.4663705, 13.3386409 52.4663087, 13.3386908 52.4662792)"
secondary,3,yes,50,Knausstraße,yes,,,"LINESTRING (13.3383379 52.4665928, 13.3384023 52.4665546, 13.3384625 52.4665202, 13.3385172 52.4664733, 13.3385613 52.4664264)"
secondary,4,yes,50,Knausstraße,yes,,,"LINESTRING (13.3380501 52.4667378, 13.338239 52.4666465, 13.3383379 52.4665928)"
secondary,4,yes,30,Saarstraße,yes,,intermediate,"LINESTRING (13.3362489 52.4675068, 13.3363487 52.4674744, 13.336719 52.4673717, 13.3368732 52.4673176)"
secondary,5,yes,50,Schmiljanstraße,,,good,"LINESTRING (13.3317656 52.4694269, 13.3317746 52.4694212, 13.3319007 52.4693423, 13.3320565 52.4692447, 13.3321096 52.4692114, 13.3321165 52.4692071)"
secondary,3,yes,50,Friedrich-Wilhelm-Platz,yes,,,"LINESTRING (13.3289316 52.4714457, 13.3290085 52.4713378)"
secondary,4,yes,50,Friedrich-Wilhelm-Platz,yes,,,"LINESTRING (13.3287005 52.4719471, 13.3288373 52.4716076, 13.3288561 52.4715725, 13.3288724 52.4715415, 13.3289316 52.4714457)"
secondary,4,yes,50,Bundesallee,yes,,,"LINESTRING (13.3285484 52.4743684, 13.328559 52.4744917, 13.3285647 52.4745563, 13.3285644 52.4745965, 13.3285644 52.4746552)"
secondary,3,yes,50,Bundesallee,yes,,,"LINESTRING (13.3289698 52.4811606, 13.32884 52.4809737, 13.3286963 52.480761, 13.3286563 52.480688)"
primary,4,yes,50,Mollstraße,yes,,good,"LINESTRING (13.4195773 52.5251729, 13.4197314 52.5251003, 13.4197653 52.5250844, 13.4198126 52.5250621, 13.4199026 52.5250195, 13.4199586 52.5249934)"
primary,4,yes,50,Mollstraße,yes,,good,"LINESTRING (13.4166621 52.5267328, 13.4161493 52.5269561, 13.4160992 52.5269785, 13.4159447 52.5270469)"
primary,4,yes,50,Mollstraße,yes,,good,"LINESTRING (13.4184316 52.5256175, 13.4185228 52.5255854)"
primary,4,yes,50,Prenzlauer Allee,yes,,good,"LINESTRING (13.416365 52.5279594, 13.4158811 52.5273755, 13.415874 52.527367, 13.4158516 52.5273401, 13.4156817 52.527177)"
secondary,2,yes,50,Platz der Vereinten Nationen,yes,,good,"LINESTRING (13.4298441 52.522559, 13.429875 52.5226592)"
primary,3,yes,50,Landsberger Allee,yes,,,"LINESTRING (13.460267 52.5293213, 13.460704 52.5294152, 13.4610269 52.5294862, 13.4610966 52.5295015, 13.4611165 52.5295059, 13.4611423 52.5295116)"
primary,5,yes,50,Landsberger Allee,yes,,good,"LINESTRING (13.4593268 52.5293692, 13.4589862 52.5292997, 13.4579717 52.529098)"
primary,4,yes,50,Landsberger Allee,yes,,,"LINESTRING (13.4592035 52.5290938, 13.4595293 52.5291653, 13.4600919 52.5292838, 13.460267 52.5293213)"
primary,4,yes,50,Landsberger Allee,yes,,excellent,"LINESTRING (13.4480794 52.5266055, 13.4480239 52.5265906, 13.4478952 52.5265562, 13.4478503 52.5265434, 13.4477389 52.526513)"
primary,4,yes,50,Landsberger Allee,yes,,,"LINESTRING (13.4520944 52.5276879, 13.4519936 52.5276594, 13.4516491 52.5275689, 13.4509572 52.5273872, 13.450896 52.5273716, 13.4507411 52.5273321)"
primary,3,yes,50,Landsberger Allee,yes,,,"LINESTRING (13.4500364 52.5269361, 13.450616 52.5270964, 13.4506831 52.5271143, 13.4508498 52.5271622)"
primary,4,yes,50,Landsberger Allee,yes,,good,"LINESTRING (13.4765763 52.5331197, 13.4765116 52.5331122, 13.4764478 52.5331069, 13.4763293 52.5330959)"
primary,4,yes,50,Landsberger Allee,yes,,good,"LINESTRING (13.4758157 52.5328914, 13.4758804 52.5329033, 13.4759411 52.5329128, 13.476065 52.5329329)"
primary,2,yes,30,Bersarinplatz,yes,B 96a,excellent,"LINESTRING (13.4526315 52.5186987, 13.452535 52.5185602, 13.4525105 52.5185104, 13.4524978 52.5184547, 13.4524988 52.5184066, 13.4525242 52.5183361, 13.4525656 52.5182772, 13.4526171 52.5182319, 13.4526823 52.518195, 13.4527448 52.5181642, 13.4528159 52.5181371)"
primary,1,yes,30,Bersarinplatz,yes,,good,"LINESTRING (13.4528159 52.5181371, 13.4529083 52.5181305, 13.4529741 52.5181278, 13.4530581 52.5181275, 13.4531422 52.5181333, 13.4532237 52.518146, 13.4532988 52.5181691, 13.4533722 52.5182006, 13.453395 52.5182108, 13.453463 52.5182406)"
primary,1,yes,30,Bersarinplatz,yes,,good,"LINESTRING (13.4532292 52.5189998, 13.4530956 52.518984, 13.4530104 52.5189675, 13.4529472 52.5189481, 13.4528856 52.5189248, 13.4528242 52.5188911, 13.4527665 52.5188508, 13.452723 52.5188002, 13.4526315 52.5186987)"
secondary,2,,30,Hauptstraße,,L 21,intermediate,"LINESTRING (13.3789875 52.6659495, 13.3788624 52.6653978)"
primary,2,yes,50,Wisbyer Straße,yes,,excellent,"LINESTRING (13.4159642 52.5534558, 13.4162038 52.5534293, 13.4169423 52.5533476, 13.4182689 52.5532008, 13.4183502 52.5531918, 13.4184947 52.5531762, 13.4189767 52.5531244, 13.4197648 52.5530384, 13.4199497 52.5530181, 13.4209565 52.5529074, 13.4222128 52.5527722, 13.4224614 52.5527465, 13.4231499 52.5526687, 13.4233159 52.5526377)"
primary,2,yes,50,Landsberger Allee,yes,,good,"LINESTRING (13.4342555 52.5233124, 13.4341961 52.5233109, 13.4341538 52.5233098, 13.4337473 52.5233215)"
primary,2,yes,50,Grunerstraße,yes,B 1,good,"LINESTRING (13.4125855 52.5193581, 13.4128559 52.5193875, 13.4130656 52.5194321, 13.4134114 52.5195865)"
primary,3,yes,50,Karl-Marx-Allee,yes,B 1;B 5,excellent,"LINESTRING (13.4312361 52.5181912, 13.4300982 52.5183158)"
primary,2,yes,30,Grunerstraße,yes,B 1,,"LINESTRING (13.4112463 52.5187718, 13.4116955 52.5189882, 13.412166 52.5192127)"
primary,3,yes,50,Grunerstraße,yes,B 1,good,"LINESTRING (13.4134114 52.5195865, 13.4136011 52.5196716, 13.4137221 52.5197282)"
primary,2,yes,50,Grunerstraße,yes,B 1,excellent,"LINESTRING (13.4140394 52.5198764, 13.4145848 52.5201542, 13.4147645 52.5202596, 13.414817 52.5202933)"
primary,2,,70,Altlandsberger Chaussee,yes,L 33,excellent,"LINESTRING (13.6701779 52.5492951, 13.6705152 52.5493706, 13.6708921 52.5494378, 13.6715171 52.5495356, 13.6721683 52.5496153, 13.6725489 52.5496743, 13.6730852 52.5497769, 13.6737875 52.5499633)"
primary,2,,70,Altlandsberger Chaussee,yes,L 33,excellent,"LINESTRING (13.6523285 52.5445406, 13.6510369 52.5442188, 13.6497597 52.5439422)"
primary,2,no,70,Berliner Straße,yes,B 1;B 5,,"LINESTRING (13.6463727 52.4991345, 13.645968 52.4992443, 13.645529 52.499371, 13.6450515 52.4995427, 13.6446204 52.4997361, 13.6443493 52.4998715, 13.6440878 52.500014, 13.6436254 52.5002831, 13.6430253 52.5006443)"
primary,2,,70,Berliner Straße,yes,B 1;B 5,,"LINESTRING (13.7657798 52.4957546, 13.7623723 52.4962923)"
primary,2,,70,Berliner Straße,yes,B 1;B 5,,"LINESTRING (13.7657271 52.4956755, 13.7685736 52.4952206, 13.7739006 52.4943876)"
primary,2,,50,Frankfurter Chaussee,yes,B 1;B 5,,"LINESTRING (13.7306922 52.500654, 13.7308608 52.5006528, 13.7315586 52.5006444, 13.7318506 52.5006399)"
primary,2,,70,Frankfurter Chaussee,yes,B 1;B 5,,"LINESTRING (13.7310809 52.500769, 13.7234167 52.5007822)"
primary,4,yes,50,Roedernallee,,B 96,good,"LINESTRING (13.3437302 52.5831559, 13.3437919 52.5830673, 13.3438142 52.5830359, 13.3439981 52.5827717, 13.3441947 52.5825076, 13.3444089 52.5822165, 13.3450209 52.581434, 13.3451411 52.5812811)"
primary,3,,70,Altlandsberger Chaussee,yes,L 33,excellent,"LINESTRING (13.6775793 52.551041, 13.6788897 52.5514421, 13.6791283 52.5515138)"
primary,2,,70,Altlandsberger Chaussee,yes,L 33,excellent,"LINESTRING (13.6790127 52.5515847, 13.6786307 52.551476, 13.6774459 52.5511118)"
primary,2,,70,Altlandsberger Chaussee,yes,L 33,excellent,"LINESTRING (13.679113 52.5516112, 13.6790127 52.5515847)"
primary,3,yes,50,Karl-Marx-Allee,yes,B 1;B 5,excellent,"LINESTRING (13.4223892 52.5201221, 13.4224378 52.5201074, 13.4225813 52.5200638, 13.4231459 52.5198925, 13.4231738 52.5198841, 13.4232904 52.5198487)"
secondary,4,yes,50,Invalidenstraße,,,excellent,"LINESTRING (13.3793664 52.529493, 13.3795213 52.5295557, 13.3795736 52.5295749, 13.3797523 52.5296279, 13.3802965 52.5297892, 13.3811082 52.5300297, 13.38122 52.5300628, 13.3814343 52.5301284, 13.3814573 52.5301352)"
secondary,2,yes,50,Invalidenstraße,yes,,good,"LINESTRING (13.3823849 52.5303371, 13.3826252 52.5304045, 13.3827636 52.5304445, 13.3828784 52.5304792, 13.3829127 52.5304926, 13.3829631 52.530514, 13.3830713 52.5305672)"
secondary,4,yes,50,Invalidenstraße,,,excellent,"LINESTRING (13.364995 52.5251072, 13.3647725 52.5250384, 13.3644106 52.5249266, 13.3641302 52.52484, 13.3633644 52.5246033, 13.363087 52.5245176, 13.3628794 52.5244534)"
secondary,4,yes,50,Invalidenstraße,yes,,good,"LINESTRING (13.3663966 52.5254235, 13.3674772 52.5257385, 13.3675097 52.5257479, 13.3675838 52.5257704, 13.3677031 52.5258065)"
secondary,3,yes,50,Invalidenstraße,yes,,good,"LINESTRING (13.3679523 52.525882, 13.3681486 52.5259415, 13.3682191 52.5259628, 13.3683355 52.5259988, 13.3689228 52.5261803)"
secondary,5,yes,50,Invalidenstraße,,,good,"LINESTRING (13.3791411 52.529409, 13.3790313 52.529373, 13.3786463 52.5292593, 13.3785616 52.5292339, 13.3784455 52.5291991)"
secondary,3,yes,50,Invalidenstraße,yes,,good,"LINESTRING (13.3772653 52.5288238, 13.3773148 52.5288346, 13.3773441 52.5288416, 13.377392 52.528853, 13.377441 52.5288663, 13.3774939 52.5288805, 13.3776542 52.5289238)"
secondary,2,yes,50,Invalidenstraße,yes,,good,"LINESTRING (13.3778924 52.5289865, 13.3782296 52.529092, 13.3782758 52.5291059, 13.3783061 52.5291169, 13.3783363 52.5291312, 13.3783679 52.5291488, 13.3784455 52.5291991)"
secondary,1,yes,50,Südostallee,yes,,excellent,"LINESTRING (13.4879095 52.459133, 13.4888275 52.4588865, 13.4891886 52.4587905, 13.4897321 52.4586464, 13.4918629 52.4580824, 13.4920123 52.4580533, 13.4921306 52.458038, 13.4922034 52.4580324, 13.4923265 52.4580258, 13.4947763 52.4580492, 13.4952255 52.4580547, 13.4963089 52.4580659, 13.4967505 52.4580992)"
secondary,2,no,70,Potsdamer Straße,,K 6960,good,"LINESTRING (13.1605469 52.3764187, 13.1607726 52.3763459, 13.1611976 52.3762394, 13.1615194 52.376181, 13.1618019 52.3761558, 13.1620856 52.3761373, 13.1623962 52.3761436, 13.1626694 52.3761583, 13.163129 52.3762267, 13.16353 52.3763201, 13.163824 52.3764142, 13.1645661 52.3766634)"
secondary,3,no,50,Potsdamer Straße,,,good,"LINESTRING (13.1685475 52.376252, 13.1686076 52.3761869, 13.1687068 52.376046, 13.168756 52.3758976, 13.1687676 52.3757615, 13.168741 52.3756163, 13.1686425 52.3754287, 13.1684686 52.3752035)"
secondary,2,yes,50,Invalidenstraße,yes,,good,"LINESTRING (13.3741007 52.5278413, 13.3742772 52.5278931, 13.3743386 52.5279121, 13.3743713 52.5279223, 13.3744035 52.5279336)"
primary,3,yes,50,Otto-Braun-Straße,yes,B 2,good,"LINESTRING (13.4189747 52.5241308, 13.4190635 52.5241955)"
secondary,,yes,50,Chausseestraße,yes,,excellent,"LINESTRING (13.3814851 52.5318323, 13.381513 52.5317551, 13.3815552 52.5317206, 13.3815633 52.531714, 13.3815975 52.531686, 13.3817197 52.5315893, 13.381835 52.5315513)"
secondary,2,yes,50,Schöneicher Straße,,L 302,,"LINESTRING (13.713263 52.4740983, 13.7133916 52.474, 13.7134872 52.4739327, 13.7137132 52.4737897, 13.7137746 52.4737533, 13.7138431 52.4737165, 13.7139366 52.4736764, 13.7140262 52.4736434)"
secondary,2,no,50,Friedrichshagener Chaussee,,L 339,good,"LINESTRING (13.6461601 52.4853244, 13.6462997 52.4850748, 13.6463959 52.4848982, 13.6464224 52.4848292, 13.6464402 52.484759, 13.6464455 52.4847051, 13.6464466 52.4846499, 13.6464296 52.4845511, 13.6463848 52.4844452, 13.6463467 52.4843789, 13.6462088 52.4841334)"
secondary,2,yes,30,Bernauer Straße,,L 30,bad,"LINESTRING (13.728283 52.5668042, 13.7282017 52.5664641, 13.7281927 52.5664226, 13.7281373 52.5661808, 13.7280795 52.5659164, 13.7280444 52.5657269, 13.7280035 52.565518, 13.727992 52.5654655, 13.7279381 52.5652207, 13.7278895 52.5650097, 13.7278853 52.5649958, 13.7278696 52.5649256)"
primary,4,yes,50,Am Seegraben,yes,B 96a,good,"LINESTRING (13.5243776 52.3929146, 13.5246122 52.3929331, 13.52467 52.3929382)"
primary,3,yes,50,Am Seegraben,yes,B 96a,,"LINESTRING (13.5225883 52.3927359, 13.5228788 52.3927728)"
secondary,2,yes,50,Wilhelmsruher Damm,,,good,"LINESTRING (13.3683793 52.5973277, 13.3682178 52.5973193, 13.3681308 52.5973148, 13.367961 52.5973065)"
secondary,2,yes,,Rudolf-Rühl-Allee,,,good,"LINESTRING (13.5624835 52.4565879, 13.5625195 52.4564948, 13.5625295 52.4564692, 13.5625629 52.4563632)"
secondary,2,yes,50,Wilhelmsruher Damm,,,,"LINESTRING (13.3555034 52.5966513, 13.3551469 52.5966324)"
secondary,2,yes,50,Wilhelmsruher Damm,no,,good,"LINESTRING (13.3551469 52.5966324, 13.35502 52.5966255, 13.3549652 52.5966228, 13.3543708 52.5965914, 13.3540616 52.5965751, 13.3539062 52.5965669, 13.3531321 52.596526, 13.3515009 52.5964398, 13.3511278 52.5964201, 13.3510605 52.5964165, 13.3510001 52.5964133, 13.3509534 52.5964109, 13.3508952 52.5964078, 13.3508046 52.596403, 13.3507414 52.5963997, 13.3503138 52.5963771)"
secondary,3,yes,50,Wilhelmsruher Damm,no,,good,"LINESTRING (13.3501364 52.5963683, 13.3498117 52.5963512, 13.3497672 52.5963489, 13.3495731 52.5963386, 13.3485129 52.5962828, 13.3481742 52.596265)"
secondary,,yes,50,Wilhelmsruher Damm,,,,"LINESTRING (13.3503138 52.5963771, 13.3501364 52.5963683)"
primary,4,yes,50,Landsberger Allee,yes,,good,"LINESTRING (13.5366047 52.5391044, 13.5369406 52.5391398)"
secondary,2,,70,,,L 20,,"LINESTRING (13.1226038 52.4944215, 13.1229114 52.4947211, 13.1231823 52.4950572, 13.1234117 52.495408)"
secondary,2,,100,Potsdamer Chaussee,,L 20,,"LINESTRING (13.1234694 52.4969953, 13.1229017 52.4989324, 13.1228364 52.4992772, 13.1227961 52.4996314, 13.1227986 52.5000433, 13.1230374 52.5032224, 13.1230263 52.5036882, 13.1229371 52.5040882, 13.1228053 52.5044773, 13.1226288 52.5048273, 13.1224188 52.5051667, 13.121505 52.5066006)"
secondary,,,50,Potsdamer Chaussee,,L 20,excellent,"LINESTRING (13.1209074 52.5075143, 13.1206117 52.5079904, 13.1200391 52.5089629, 13.1199729 52.5090686)"
primary,3,yes,50,Otto-Braun-Straße,yes,B 2,good,"LINESTRING (13.4187579 52.5239691, 13.4189747 52.5241308)"
primary,3,yes,50,Otto-Braun-Straße,yes,B 2,good,"LINESTRING (13.4190635 52.5241955, 13.4193575 52.5244253)"
primary,2,yes,30,Potsdamer Chaussee,,B 2,intermediate,"LINESTRING (13.1081581 52.471729, 13.1099452 52.4721254, 13.1100747 52.4721609, 13.1101572 52.4721885, 13.1102874 52.4722327)"
